Name,Game_Description,Serebii_In_Depth_Description
Cursed Body,"May disable a move used on the Pokémon.","When a move hits the Pokémon, that move has a 30% chance of getting disabled."
Cute Charm,"Contact with the Pokémon may cause infatuation.","The opponent has a 30% chance of being induced with Attract when using an attack, that requires physical contact, against this Pokémon."
Damp,"Prevents the use of explosive moves such as Self-Destruct by dampening its surroundings.","Explosion, Selfdestruct & Mind Blown will not work while the Pokémon is on the field."
Dancer,"When another Pokémon uses a dance move, it can use a dance move following it regardless of its Speed.","Copies the foe's Dance moves."
Dark Aura,"Powers up each Pokémon's Dark-type moves.","Raises power of Dark type moves for all Pokémon in battle by 33.3%."
Dauntless Shield,"Boosts Defense in battle.",""
Dazzling,"Surprises the opposing Pokémon, making it unable to attack using priority moves.","Protects the Pokémon from high-priority moves."
Defeatist,"Halves the Pokémon's Attack and Sp. Atk stats when its HP becomes half or less.","Lowers stats when HP drops below half."
Defiant,"Boosts the Pokémon's Attack stat sharply when its stats are lowered.","Attack is raised by two stages when the Pokémon has its stats lowered. Doesn't work on self inflicted stat drops or drops from allies."
Delta Stream,"The Pokémon changes the weather to eliminate all of the Flying type's weaknesses.","Creates the Strong Winds weather. This lasts until the Pokémon exits battle, and weakens moves used on Flying-type Pokémon that would be Super Effective."
Desolate Land,"The Pokémon changes the weather to nullify Water-type attacks.","Creates the Strong Sun weather. This lasts until the Pokémon exits battle, and renders Water-type moves useless."
Disguise,"Once per battle, the shroud that covers the Pokémon can protect it from an attack","Once per battle, the Pokémon can withstand one damaging attack without receiving any damage. Damage inflicted through entry hazards, weather or status conditions will not break the disguise. Damage from Confusion will break the Disguise. It causes 1/8th of max Hit Point damage when it breaks."
Download,"Compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk statâ€”whichever will be more effective.","Attack is increased when the foe’s Defense is lower than its Special Defense or increases Special Attack when the foe’s Special Defense is lower than its Defense."
Drizzle,"The Pokémon makes it rain when it enters a battle.","Weather changes to Heavy Rain when the Pokémon enters the battle. As of X & Y, this lasts 5 turns."
Drought,"Turns the sunlight harsh when the Pokémon enters a battle.","Weather changes to Intense Sunshine when the Pokémon enters the battle. As of X & Y, this lasts 5 turns."
Dry Skin,"Restores HP in rain or when hit by Water-type moves. Reduces HP in sunshine, and increases the damage received from Fire-type moves.","HP is restored when hit by Water-type moves or when it is raining but also makes the Pokémon weak to Fire-type moves and reduces HP during strong sunlight."
Early Bird,"The Pokémon awakens twice as fast as other Pokémon from sleep.","Sleep conditions lasts for half as long, rounding down. For example, half of three turns is 1.5, which rounds down to one turn. When the number of turns to sleep is one, half of this rounded down is zero, and the Pokémon wakes up instantly."
Effect Spore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.","The opponent has a 10% chance of being induced by PARALYZE, POISON, or SLEEP when using an attack, that requires physical contact, against this Pokémon."
Electric Surge,"Turns the ground into Electric Terrain when the Pokémon enters a battle.","Activates Electric Terrain for 5 turns when the Pokémon enters a battle."
Emergency Exit,"The Pokémon, sensing danger, switches out when its HP becomes half or less.","When the Pokémon's Hit Points hit 50% or less, the Pokémon will switch out. Works once per battle. The Pokémon will not switch out if it drops below 50% due to Confusion, Weather, use of Substitute or when the damage inflicted is by a Pokémon with the Sheer Force ability. It will not activate if health is brought back up above 50% due to a hold item."
Fairy Aura,"Powers up each Pokémon's Fairy-type moves.","Raises power of Fairy type moves for all Pokémon in battle by 33.3%."
Filter,"Reduces the power of supereffective attacks taken.","Damage by super-effective moves is reduced by 25%."
Flame Body,"Contact with the Pokémon may burn the attacker.","The opponent has a 30% chance of being induced with Burn when using an attack, that requires physical contact, against this Pokémon."
Flare Boost,"Powers up special attacks when the Pokémon burned.","Special Attack stat increased by 50% when burned."
Flash Fire,"Powers up the Pokémon's Fire-type moves if it's hit by one.","Activates when user is hit by a damaging Fire-type move (including Fire-type Hidden Power). Once activated, user’s Fire-type moves deal 1.5 times damage. While this ability is in effect, this Pokémon is immune to damage from Fire-type attacks and Fire-type Hidden Power (accuracy and effect from these moves are ignored). For Fire-type Pokémon with this ability, Will-O-Wisp activates this ability without having an effect. If a non-Fire-type Pokémon has this ability, Will-O-Wisp will activate the ability and will have an effect."
Flower Gift,"Boosts the Attack and Sp. Def stats of itself and allies when it is sunny.","Ally’s Attack and Special Defence are multiplied by 1.5 during strong sunlight."
Flower Veil,"Ally Grass-type Pokémon are protected from status conditions and the lowering of their stats.","Prevents lowering of ally Grass-type Pokémon's stats."
Fluffy,"Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves.",""
Forecast,"The Pokémon transforms with the weather to change its type to Water, Fire, or Ice.","This Pokémon’ changes its form and type if Harsh Sunlight, Heavy Rain or Hail is in effect."
Forewarn,"When it enters a battle, the Pokémon can tell one of the moves an opposing Pokémon has.","Reveals the foe’s strongest move."
Friend Guard,"Reduces damage done to allies.","In Double & Triple battles, the damage that ally Pokémon receive from attacks is reduced by 25%."
Frisk,"When it enters a battle, the Pokémon can check an opposing Pokémon's held item.","Reveals the foe’s held item."
Full Metal Body,"Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.",""
Fur Coat,"Halves the damage from physical moves onto this Pokémon.","Reduces damage from physical moves by 50%."
Gale Wings,"Gives priority to Flying-type moves when the Pokémon's HP is full.","All Flying-type moves have their Speed Priority increased by 1 if the Pokémon's Hit Points are at maximum."
Galvanize,"Normal-type moves become Electric-type moves. The power of those moves is boosted a little.","ncreases the power of Normal-type moves by 20%. It then changes those moves to Electric-type."
Gluttony,"Makes the Pokémon eat a held Berry when its HP drops to half or less, which is sooner than usual.","The Pokémon will use a berry when its Hit Points are below 50%."
Gooey,"Contact with the Pokémon lowers the attacker's Speed stat.","Lowers the opponent's Speed by one stage when it makes physical contact."
Gorilla Tactics,"Boosts the Pokémon's Attack stat but only allows the use of the first selected move.","Raises the Pokémon's Attack stat by one stage, but locks the Pokémon into using the first attack it uses after being sent out."
Grass Pelt,"Boosts the Defense stat in Grassy Terrain.","Increases Defense by 50% when battling on Grass or if the move Grassy Terrain is in effect."
Grassy Surge,"Turns the ground into Grassy Terrain when the Pokémon enters a battle.","Activates Grassy Terrain for 5 turns when the Pokémon enters a battle."
Gulp Missile,"When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack.","When using Surf or Dive, it will change into Gulping Form if it has over 50% max HP or Gorging Form if it has less than 50% max HP. If hit afterwards, form reverts and it shoots out its prey to attack, doing 1/4th of opponent's maximum HP in damage. If the Cramorant was in Gulping Form, the opponent's Defense is lowered 1 stage. If the Cramorant was in Gorging Form, the opponent is paralyzed."
Guts,"It's so gutsy that having a status condition boosts the Pokémon's Attack stat.","Attack is increased by 50% when induced with a status (BURN, PARALYZE, SLEEP, POISON, FREEZE). Burn’s effect of lowering Attack is not applied."
Harvest,"May create another Berry after one is used.","The Pokémon has a 50% chance of restoring a consumed berry. During sunshine, this chance increases to 100%"
Healer,"Sometimes heals an ally's status condition.","At the end of the turn, there is a 30% chance of either Ally being healed from a status condition"
Heatproof,"The heatproof body of the Pokémon halves the damage from Fire-type moves that hit it.","Damage from Fire-type moves and the Burn status is halved."
Heavy Metal,"Doubles the Pokémon's weight.",""
Honey Gather,"The Pokémon may gather Honey after a battle.","May pick up a Honey after battle; the higher the level, the higher the chance."
Huge Power,"Doubles the Pokémon's Attack stat.","The Pokémon's Attack stat is doubled while it has this ability."
Hunger Switch,"The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of each turn.","Changes forms each turn."
Hustle,"Boosts the Attack stat, but lowers accuracy.","Damage from physical attacks is increased by 50%, but average accuracy is only 80%."
Hydration,"Heals status conditions if it's raining.","All status problems: Burn, Paralysis, Sleep, Frozen and Poison, are healed when raining."
Hyper Cutter,"The Pokémon's proud of its powerful pincers. They prevent other Pokémon from lowering its Attack stat.","Opponent cannot lower this Pokémon’s Attack value. This Pokémon may still lower its own Attack value using a move of by itself."
Ice Body,"The Pokémon gradually regains HP in a hailstorm.","HP is restored by 1/16th of maximum HP when its hailing."
Ice Face,"The Pokémon's ice head can take a physical attack as a substitute, but the attack also changes the Pokémon's appearance. The ice will be restored when it hails.","Has a protective barrier that protects against Physical Attacks once and will change form to Noice Face after breaking. Confusion also breaks the barrier. Setting Hail or being sent out during hail will restore the Ice Face and change form to Ice Face."
Ice Scales,"The Pokémon is protected by ice scales, which halve the damage taken from special moves.","Halves damage from Special moves."
Illuminate,"Raises the likelihood of meeting wild Pokémon by illuminating the surroundings.",""
Illusion,"Comes out disguised as the Pokémon in the party's last spot.","When sent out into battle, it takes the name and appearance of the last non-fainted Pokémon within your party. It breaks when an attack does damage on the Pokémon but not from Weather Effects or Entry Hazards."
Immunity,"The immune system of the Pokémon prevents it from getting poisoned.","The Pokémon cannot be Poisoned while having this ability."
Imposter,"The Pokémon transforms itself into the Pokémon it's facing.","When sent into battle, the Pokémon automatically transforms into a random opponent that is on the field."
Infiltrator,"Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.","The protections and stat boosts caused by the moves Substitute, Reflect, Light Screen and Safeguard by the opponent are ignored."
Innards Out,"Damages the attacker landing the finishing hit by the amount equal to its last HP.","Deals damage upon fainting."
Inner Focus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.","This Pokémon will not flinch. Does not prevent flinching with Focus Punch. Also prevents stats from being lowered by the ability Intimidate."
Insomnia,"The Pokémon is suffering from insomnia and cannot fall asleep.","The Pokémon cannot be put to Sleep while having this ability."
Intimidate,"The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.","Upon entering battle, the opponent’s Attack lowers one stage. In a Double Battle, both opponents’ Attack are lowered. Pokémon with the Clear Body, Hyper Cutter, or White Smoke ability are unaffected. In a link battle, if both sides switch on the same turn, and first player sends out a Pokémon with Intimidate, the opponent’s Attack will be lowered before the opponent’s Pokémon switches."
Intrepid Sword,"Boosts the Pokémon's Attack stat when the Pokémon enters a battle.","Boosts Attack in battle."
Iron Barbs,"Inflicts damage to the attacker on contact with iron barbs.","If physical contact is made on this Pokémon, the opponent will receive damage equal to 1/8th of its maximum HP."
Iron Fist,"Powers up punching moves.","The power of punching moves is increased by 20%."
Justified,"Being hit by a Dark-type move boosts the Attack stat of the Pokémon, for justice.","Attack is raised by one stage when the Pokémon is hit by a Dark-type move."
Keen Eye,"Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.","Opponent cannot lower this Pokémon’s accuracy. The Pokémon ignores evasion boosts of the opponent."
Klutz,"The Pokémon can't use any held items.","The Pokémon cannot receive any effect of hold items except those that affect experience such as Exp.Share or Macho Brace."
Leaf Guard,"Prevents status conditions in sunny weather.","Prevents the Pokémon from being afflicted by status conditions during strong sunlight."
Levitate,"By floating in the air, the Pokémon receives full immunity to all Ground-type moves.","Damage dealing Ground-type moves have no effect on this Pokémon. Cannot be trapped by Arena Trap ability. Takes no damage from Spikes."
Libero,"Changes the Pokémon's type to the type of the move it's about to use.",""
Light Metal,"Halves the Pokémon's weight.",""
Lightning Rod,"The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.","Electric-type moves are drawn to this Pokémon. Electric-type moves will do no damage and the Pokémon's SP ATK is raised one stage."
Limber,"Its limber body protects the Pokémon from paralysis.","The Pokémon cannot be Paralysed while having this ability."
Liquid Ooze,"Oozed liquid has strong stench, which damages attackers using any draining move.","When the opponent absorbs Hit Points from this Pokémon, the opponent instead loses Hit Points."
Liquid Voice,"All sound-based moves become Water-type moves.",""
Long Reach,"The Pokémon uses its moves without making contact with the target.",""
Magic Bounce,"Reflects status moves, instead of getting hit by them.","Reflects non-attacking moves used on the Pokémon back to the attacking Pokémon."
Magic Guard,"The Pokémon only takes damage from attacks.","Prevents all damage except from direct-attack moves."
Magician,"The Pokémon steals the held item of a Pokémon it hits with a move.",""
Magma Armor,"The Pokémon is covered with hot magma, which prevents the Pokémon from becoming frozen.","This Pokémon cannot be Frozen while having this ability."
Magnet Pull,"Prevents Steel-type Pokémon from escaping using its magnetic force.","Steel types cannot run nor switch while this Pokémon is in battle. Because the opponent’s switching is blocked, the opponent cannot switch on the turn this Pokémon switches out of battle. The opponent may still switch with Baton Pass."
Marvel Scale,"The Pokémon's marvelous scales boost the Defense stat if it has a status condition.","Defense is increased by 50% when induced with a status (BURN, PARALYZE, SLEEP, POISON, FREEZE)."
Mega Launcher,"Powers up aura and pulse moves.","Increases the power of Aura and Pulse moves by 50%."
Merciless,"The Pokémon's attacks become critical hits if the target is poisoned.",""
Mimicry,"Changes the Pokémon's type depending on the terrain.","Changes to Electric-type in Electric Terrain, Psychic-type in Psychic Terrain, Grass-type in Grassy Terrain and Fairy type in Fairy-terrain. The type reverts to normal when the terrain ends."
Minus,"Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.","When battling with Plus or Minus, Special Attack increases by 50%."
Mirror Armor,"Bounces back only the stat-lowering effects that the Pokémon receives.",""
Misty Surge,"Turns the ground into Misty Terrain when the Pokémon enters a battle.","Activates Misty Terrain for 5 turns when the Pokémon enters a battle."
Mold Breaker,"Moves can be used on the target regardless of its Abilities.","The Pokémon's moves are not affected by foe’s abilities during battle."
Moody,"Raises one stat sharply and lowers another every turn.","At the end of every turn, a random stat (except Accuracy and Evasion) is raised by two stages while another is lowered by one stage."
Motor Drive,"Boosts its Speed stat if hit by an Electric-type move, instead of taking damage.","The Pokémon takes no damage from Electric-type attacks and Speed raises by one level."
Moxie,"The Pokémon shows moxie, and that boosts the Attack stat after knocking out any Pokémon.","Attack is raised by one stage when the Pokémon knocks out another Pokémon."
Multiscale,"Reduces the amount of damage the Pokémon takes when its HP is full.","Reduces damage afflicted to the Pokémon by 50% if at maximum HP."
Multitype,"Changes the Pokémon's type to match the Plate or Z-Crystal it holds.",""
Mummy,"Contact with this Pokémon  changes the attacker's Ability to Mummy.",""
Natural Cure,"All status conditions heal when the Pokémon switches out.","The Pokémon’s status (BURN, PARALYZE, SLEEP, POISON, FREEZE) is healed when withdrawn from battle."
Neuroforce,"Increases the power of supereffective attacks.","Increases the power of Super Effective moves used by this Pokémon by 20%."
Neutralizing Gas,"If the Pokémon with Neutralizing Gas is in the battle, the effects of all Pokémon's Abilities will be nullified or will not be triggered.",""
No Guard,"The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.","The accuracy of all moves known by this Pokémon and all Pokémon targeting this Pokémon raises to 100%."
Normalize,"All the Pokémon's moves become Normal type. The power of those moves is boosted a little.","All moves known by the Pokémon turn into Normal-type and have a boost in power of 20%."
Oblivious,"The Pokémon is oblivious, and that keeps it from being infatuated or falling for taunts.","The Pokémon cannot be under the Attract condition, Intimidated, or be taunted, while having this ability."
Overcoat,"Protects the Pokémon from things like sand, hail, and powder.","Protects Pokémon from Weather Effects and Powder moves such as Sleep Powder, Poison Powder etc."
Overgrow,"Powers up Grass-type moves when the Pokémon's HP is low.","When HP is below 1/3rd its maximum, power of Grass-type moves is increased by 50%."
Own Tempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.","The Pokémon cannot be Confused while having this ability. Blocks Intimidate."
Parental Bond,"Parent and child each attacks.","Every move used by the Pokémon will hit twice. The damage inflicted by the second hit is reduced to 25%. If the move used is a damaging move, each hit is capable of afflicting Secondary Effects and Critical Hits."
Pastel Veil,"Protects the Pokémon and its ally Pokémon from being poisoned.",""
Perish Body,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.",""
Pickpocket,"Steals an item from an attacker that made direct contact.","When a Pokémon makes physical contact with the Pokémon, the item of the opponent is stolen."
Pickup,"The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.","Has a 10% chance of finding and holding an item after battle. Will not work if this Pokémon is already holding an item. From Black & White, it allows for the user to pick up the item of its opponent or ally if they used up the item in battle."
Pixilate,"Normal-type moves become Fairy-type moves. The power of those moves is boosted a little.","Increases the power of Normal-type moves by 20%. It then changes those moves to Fairy-type."
Plus,"Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.","When battling with Plus or Minus, Special Attack increases by 50%."
Poison Heal,"Restores HP if the Pokémon is poisoned, instead of losing HP.","HP is restored by 1/8th the maximum HP every turn while the Pokémon has the Poison condition."
Poison Point,"Contact with the Pokémon may poison the attacker.","The opponent has a 30% chance of being induced with Poison when using an attack, that requires physical contact, against this Pokémon."
Poison Touch,"May poison a target when the Pokémon makes contact.","When the Pokémon attacks its opponents with a move that causes Physical Contact, there is a 30% chance that the target is Poisoned."
Power Construct,"Other Cells gather to aid when its HP becomes half or less. Then the Pokémon changes its form to Complete Forme.",""
Power of Alchemy,"The Pokémon copies the Ability of a defeated ally.",""
Power Spot,"Just being next to the Pokémon powers up moves.","Increases the power of Ally Pokémon's attacks by 30%."
Prankster,"Gives priority to a status move.",""
Pressure,"By putting pressure on the opposing Pokémon, it raises their PP usage.","When this Pokémon is hit by a move, the opponent’s PP lowers by 2 rather than 1."
Primordial Sea,"The Pokémon changes the weather to nullify Fire-type attacks.","Creates the Heavy Rain weather. This lasts until the Pokémon exits battle, and renders Fire-type moves useless."
Prism Armor,"Reduces the power of supereffective attacks taken.","Reduces the power of Super Effective moves used against this Pokémon by 25%."
Propeller Tail,"Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves",""
Protean,"Changes the Pokémon's type to the type of the move it's about to use.","Before the Pokémon uses a move, it becomes a pure Pokémon of that type."
Psychic Surge,"Turns the ground into Psychic Terrain when the Pokémon enters a battle.","Activates Psychic Terrain for 5 turns when the Pokémon enters a battle."
Punk Rock,"Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.","Increases the damage of Sound based moves by 30%. Reduces damage taken by this Pokémon by Sound based moves by 50%."
Pure Power,"Using its pure power, the Pokémon doubles its Attack stat.","The Pokémon’s Attack stat is doubled in battle while having this ability."
Queenly Majesty,"Its majesty pressures the opposing Pokémon, making it unable to attack using priority moves.","Prevents the opponent from using moves with increased Speed Priority on this Pokémon or its allies."
Quick Feet,"Boosts the Speed stat if the Pokémon has a status condition.","Speed is increased by 50% when induced with a status (Burn, Poison, Sleep, Frozen & Paralysis). If Paralysed, the speed drop is ignored."
Rain Dish,"The Pokémon gradually regains HP in rain.","If Heavy Rain weather is in effect, recovers 1/16th max Hit Points at the end of the turn."
Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.","Speed is raised by one stage when the Pokémon is hit by a Bug-type, Ghost-type or Dark-type move or is Intimidated."
Receiver,"The Pokémon copies the Ability of a defeated ally.","Inherits an ally's ability when it faints."
Reckless,"Powers up moves that have recoil damage.","The power of moves that have recoil damage is increased by 20%."
Refrigerate,"Turns Normal-type moves into Ice-type moves.",""
Regenerator,"Normal-type moves become Ice-type moves. The power of those moves is boosted a little.","Increases the power of Normal-type moves by 20%. It then changes those moves to Ice-type."
Ripen,"Ripens Berries and doubles their effect.",""
Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.","Attack & Special Attack is increased by 25% if the foe is of the same gender; Attack & Special Attack is decreased by 25% if the foe is of the opposite gender."
RKS System,"Changes the Pokémon's type to match the memory disc it holds.",""
Rock Head,"Protects the Pokémon from recoil damage.","Does not receive recoil damage from recoil-causing damages."
Rough Skin,"This Pokémon inflicts damage with its rough skin to the attacker on contact.","The opponent is hurt by 1/8th of his maxium Hit Points of recoil when using an attack, that requires physical contact, against this Pokémon."
Run Away,"Enables a sure getaway from wild Pokémon.","Except for trainer battles, can always run from battle. It still cannot switch during Mean Look or Block or when the opponent is trapping with the Arena Trap, Magnet Pull, or Shadow Tag ability."
Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.","Ground-type, Rock-type & Steel-type moves have their power increased by 33% in a Sandstorm."
Sand Rush,"Boosts the Pokémon's Speed stat in a sandstorm.","Speed is doubled within a sandstorm"
Sand Spit,"The Pokémon creates a sandstorm when it's hit by an attack.",""
Sand Stream,"The Pokémon summons a sandstorm when it enters a battle.","Sandstorm blows when the Pokémon enters battle. As of X & Y, this lasts 5 turns."
Sand Veil,"Boosts the Pokémon's evasion in a sandstorm.","Raises the Pokémon’s evasion during a sandstorm by one level."
Sap Sipper,"Boosts the Attack stat if hit by a Grass-type move, instead of taking damage.","Attack is raised by one stage when the Pokémon is hit by a Grass-type move. User receives no damage from Grass-type attacks."
Schooling,"When it has a lot of HP, the Pokémon forms a powerful school. It stops schooling when its HP is low.","Changes the Pokémon's form when it is Level 20 and has more than 25% Hit Points. When Hit Points drop below 25%, it changes back to Solo Form."
Scrappy,"The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.","Allows the Pokémon to hit Ghost-type Pokémon with Normal-type and Fighting-type moves. Blocks Intimidate."
Screen Cleaner,"When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon.","Nullifies effects of Light Screen, Reflect, and Aurora Veil."
Serene Grace,"Boosts the likelihood of additional effects occurring when attacking.","The chances of a move having a secondary effect is doubled."
Shadow Shield,"Reduces the amount of damage the Pokémon takes while its HP is full.","Reduces damage inflicted on this Pokémon when at max Hit Points by 50%. It is not affected by moves or abilities that would ignore the ability such as Mold Breaker, Moongeist Beam or Sunsteel Strike."
Shadow Tag,"This Pokémon steps on the opposing Pokémon's shadow to prevent it from escaping.","The opponent cannot run nor switch while this Pokémon is in play. The opponent may still switch by using Baton Pass, U-turn or Volt Switch, if it is holding a Shed Shell or is a Ghost-type."
Shed Skin,"The Pokémon may heal its own status conditions by shedding its skin.","Every turn, it has a 1 in 3 chance of healing from a status condition (BURN, PARALYZE, SLEEP, POISON, FREEZE)."
Sheer Force,"Removes additional effects to increase the power of moves when attacking.","Moves with a secondary effect are increased in power by 30% but lose their secondary effect."
Shell Armor,"A hard shell protects the Pokémon from critical hits.","Opponent’s moves cannot Critical Hit."
Shield Dust,"This Pokémon's dust blocks the additional effects of attacks taken.","Damaging moves used by the opponent will not have an additional effect."
Shields Down,"When its HP becomes half or less, the Pokémon's shell breaks and it becomes aggressive.","Changes the Pokémon into its Core form when its Hit Points drop below 50%. Before then, it cannot be affected by Status Conditions such as Burn or Paralysis."
Simple,"The stat changes the Pokémon receives are doubled.","The effectiveness of all stat modifications is doubled."
Skill Link,"Maximizes the number of times multi-strike moves hit.","Moves that attack 2-5 times always hit 5 times."
Slow Start,"For five turns, the Pokémon's Attack and Speed stats are halved.","Attack and Speed is halved during the first five turns since sent out."
Slush Rush,"Boosts the Pokémon's Speed stat in a hailstorm.","Doubles the Pokémon's Speed when Hail is in effect."
Sniper,"Powers up moves if they become critical hits when attacking.","Power of critical-hit moves is increased to 225% rather than 150%."
Snow Cloak,"Boosts evasion in a hailstorm.","Raises the Pokémon’s evasion during a hailstorm by one level."
Snow Warning,"The Pokémon summons a hailstorm when it enters a battle.","Hailstorm blows when the Pokémon enters battle. As of X & Y, this lasts 5 turns."
Solar Power,"Boosts the Sp. Atk stat in sunny weather, but HP decreases every turn.","During sunshine, the Pokémon’s Special Attack raises to 1.5 times but HP decreases by 1/8th the maximum HP every turn."
Solid Rock,"Reduces the power of supereffective attacks taken.","Damage by super-effective moves is reduced by 25%."
Soul-Heart,"Boosts its Sp. Atk stat every time a Pokémon faints.",""
Soundproof,"Soundproofing of the Pokémon itself gives full immunity to all sound-based moves.","Unaffected by sound moves. If this Pokémon switches out with Baton Pass, Perish Song against the switched out will not be nullified."
Speed Boost,"Its Speed stat is boosted every turn.","Speed increases by one stage at the end of each turn."
Stakeout,"Doubles the damage dealt to the target's replacement if the target switches out.","Deals double damage to Pokémon switching in."
Stall,"The Pokémon moves after all other Pokémon do.","The Pokémon always attacks last."
Stalwart,"Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.",""
Stamina,"Boosts the Defense stat when hit by an attack.",""
Stance Change,"The Pokémon changes its form to Blade Forme when it uses an attack move, and changes to Shield Forme when it uses King's Shield.","Changes form depending on moves used."
Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.","The opponent has a 30% chance of being induced with PARALYZE when using an attack, that requires physical contact, against this Pokémon."
